TimeStart,TimeEnd,Length (s),File Name
10/12/2021 21:31:45.373,10/12/2021 22:01:46.000,1800.627,0001_Bridge05844A_data_1.ASC
10/12/2021 22:01:46.000,10/12/2021 22:31:47.453,1801.453,0002_Bridge05844A_data_1_001.ASC
10/12/2021 22:31:47.453,10/12/2021 23:01:48.886,1801.433,0003_Bridge05844A_data_1_002.ASC
10/12/2021 23:01:48.886,10/12/2021 23:31:50.299,1801.413,0004_Bridge05844A_data_1_003.ASC
10/12/2021 23:31:50.299,10/13/2021 0:01:51.706,1801.407,0005_Bridge05844A_data_1_004.ASC
10/13/2021 0:01:51.706,10/13/2021 0:31:53.059,1801.353,0006_Bridge05844A_data_1_005.ASC
10/13/2021 0:31:53.059,10/13/2021 1:01:54.519,1801.460,0007_Bridge05844A_data_1_006.ASC
10/13/2021 1:01:54.519,10/13/2021 1:31:55.939,1801.420,0008_Bridge05844A_data_1_007.ASC
10/13/2021 1:31:55.939,10/13/2021 2:01:57.292,1801.353,0009_Bridge05844A_data_1_008.ASC
10/13/2021 2:01:57.292,10/13/2021 2:31:58.739,1801.447,0010_Bridge05844A_data_1_009.ASC
10/13/2021 2:31:58.739,10/13/2021 3:02:00.146,1801.407,0011_Bridge05844A_data_1_010.ASC
10/13/2021 3:02:00.146,10/13/2021 3:32:01.499,1801.353,0012_Bridge05844A_data_1_011.ASC
10/13/2021 3:32:01.499,10/13/2021 4:02:02.919,1801.420,0013_Bridge05844A_data_1_012.ASC
10/13/2021 4:02:02.919,10/13/2021 4:32:04.319,1801.400,0014_Bridge05844A_data_1_013.ASC
10/13/2021 4:32:04.319,10/13/2021 5:02:05.652,1801.333,0015_Bridge05844A_data_1_014.ASC
10/13/2021 5:02:05.652,10/13/2021 5:32:07.099,1801.447,0016_Bridge05844A_data_1_015.ASC
10/13/2021 5:32:07.099,10/13/2021 6:02:08.532,1801.433,0017_Bridge05844A_data_1_016.ASC
10/13/2021 6:02:08.532,10/13/2021 6:32:09.972,1801.440,0018_Bridge05844A_data_1_017.ASC
10/13/2021 6:32:09.972,10/13/2021 6:47:24.799,914.827,0019_Bridge05844A_data_1_018.ASC
10/13/2021 6:47:24.799,10/13/2021 6:53:45.439,380.640,0020_Bridge05844A_data_1_019.ASC
10/13/2021 7:03:02.600,10/13/2021 7:33:04.000,1801.400,0021_Bridge05844A_morning_of_pour.ASC
10/13/2021 7:33:04.000,10/13/2021 8:03:05.433,1801.433,0022_Bridge05844A_morning_of_pour_001.ASC
10/13/2021 8:03:05.433,10/13/2021 8:33:06.813,1801.380,0023_Bridge05844A_morning_of_pour_002.ASC
10/13/2021 8:33:06.813,10/13/2021 9:03:08.193,1801.380,0024_Bridge05844A_morning_of_pour_003.ASC
10/13/2021 9:03:08.193,10/13/2021 9:33:09.600,1801.407,0025_Bridge05844A_morning_of_pour_004.ASC
10/13/2021 9:33:09.600,10/13/2021 10:03:11.080,1801.480,0026_Bridge05844A_morning_of_pour_005.ASC
10/13/2021 10:03:11.080,10/13/2021 10:33:12.460,1801.380,0027_Bridge05844A_morning_of_pour_006.ASC
10/13/2021 10:33:12.460,10/13/2021 11:03:13.813,1801.353,0028_Bridge05844A_morning_of_pour_007.ASC
10/13/2021 11:03:13.813,10/13/2021 11:33:15.220,1801.407,0029_Bridge05844A_morning_of_pour_008.ASC
10/13/2021 11:33:15.220,10/13/2021 12:03:16.700,1801.480,0030_Bridge05844A_morning_of_pour_009.ASC
10/13/2021 12:03:16.700,10/13/2021 12:33:18.033,1801.333,0031_Bridge05844A_morning_of_pour_010.ASC
10/13/2021 12:33:18.033,10/13/2021 13:03:19.460,1801.427,0032_Bridge05844A_morning_of_pour_011.ASC
10/13/2021 13:03:19.460,10/13/2021 13:33:20.893,1801.433,0033_Bridge05844A_morning_of_pour_012.ASC
10/13/2021 13:33:20.893,10/13/2021 14:03:22.286,1801.393,0034_Bridge05844A_morning_of_pour_013.ASC
10/13/2021 14:03:22.286,10/13/2021 14:33:23.679,1801.393,0035_Bridge05844A_morning_of_pour_014.ASC
10/13/2021 14:33:23.679,10/13/2021 15:03:25.066,1801.387,0036_Bridge05844A_morning_of_pour_015.ASC
10/13/2021 15:03:25.066,10/13/2021 15:33:26.459,1801.393,0037_Bridge05844A_morning_of_pour_016.ASC
10/13/2021 15:33:26.459,10/13/2021 16:03:27.952,1801.493,0038_Bridge05844A_morning_of_pour_017.ASC
10/13/2021 16:03:27.952,10/13/2021 16:33:29.299,1801.347,0039_Bridge05844A_morning_of_pour_018.ASC
10/13/2021 16:33:29.299,10/13/2021 17:03:30.739,1801.440,0040_Bridge05844A_morning_of_pour_019.ASC
10/13/2021 17:03:30.739,10/13/2021 17:33:32.126,1801.387,0041_Bridge05844A_morning_of_pour_020.ASC
10/13/2021 17:33:32.126,10/13/2021 18:03:33.493,1801.367,0042_Bridge05844A_morning_of_pour_021.ASC
10/13/2021 18:03:33.493,10/13/2021 18:33:34.886,1801.393,0043_Bridge05844A_morning_of_pour_022.ASC
10/13/2021 18:33:34.886,10/13/2021 19:03:36.379,1801.493,0044_Bridge05844A_morning_of_pour_023.ASC
10/13/2021 19:03:36.379,10/13/2021 19:33:37.699,1801.320,0045_Bridge05844A_morning_of_pour_024.ASC
10/13/2021 19:33:37.699,10/13/2021 20:03:39.132,1801.433,0046_Bridge05844A_morning_of_pour_025.ASC
10/13/2021 20:03:39.132,10/13/2021 20:33:40.525,1801.393,0047_Bridge05844A_morning_of_pour_026.ASC
10/13/2021 20:33:40.525,10/13/2021 21:03:41.932,1801.407,0048_Bridge05844A_morning_of_pour_027.ASC
10/13/2021 21:03:41.932,10/13/2021 21:33:43.319,1801.387,0049_Bridge05844A_morning_of_pour_028.ASC
10/13/2021 21:33:43.319,10/13/2021 22:03:44.686,1801.367,0050_Bridge05844A_morning_of_pour_029.ASC
10/13/2021 22:03:44.686,10/13/2021 22:33:46.179,1801.493,0051_Bridge05844A_morning_of_pour_030.ASC
10/13/2021 22:33:46.179,10/13/2021 23:03:47.532,1801.353,0052_Bridge05844A_morning_of_pour_031.ASC
