TimeStart,TimeEnd,Length (s),File Name
10/12/21 21:31,10/12/21 22:01,1800.626667,0001_Bridge05844A_data_1.ASC
10/12/21 22:01,10/12/21 22:31,1801.453333,0002_Bridge05844A_data_1_001.ASC
10/12/21 22:31,10/12/21 23:01,1801.433333,0003_Bridge05844A_data_1_002.ASC
10/12/21 23:01,10/12/21 23:31,1801.413333,0004_Bridge05844A_data_1_003.ASC
10/12/21 23:31,10/13/21 0:01,1801.406667,0005_Bridge05844A_data_1_004.ASC
10/13/21 0:01,10/13/21 0:31,1801.353333,0006_Bridge05844A_data_1_005.ASC
10/13/21 0:31,10/13/21 1:01,1801.460000,0007_Bridge05844A_data_1_006.ASC
10/13/21 1:01,10/13/21 1:31,1801.420000,0008_Bridge05844A_data_1_007.ASC
10/13/21 1:31,10/13/21 2:01,1801.353333,0009_Bridge05844A_data_1_008.ASC
10/13/21 2:01,10/13/21 2:31,1801.446667,0010_Bridge05844A_data_1_009.ASC
10/13/21 2:31,10/13/21 3:02,1801.406667,0011_Bridge05844A_data_1_010.ASC
10/13/21 3:02,10/13/21 3:32,1801.353333,0012_Bridge05844A_data_1_011.ASC
10/13/21 3:32,10/13/21 4:02,1801.420000,0013_Bridge05844A_data_1_012.ASC
10/13/21 4:02,10/13/21 4:32,1801.400000,0014_Bridge05844A_data_1_013.ASC
10/13/21 4:32,10/13/21 5:02,1801.333333,0015_Bridge05844A_data_1_014.ASC
10/13/21 5:02,10/13/21 5:32,1801.446667,0016_Bridge05844A_data_1_015.ASC
10/13/21 5:32,10/13/21 6:02,1801.433333,0017_Bridge05844A_data_1_016.ASC
10/13/21 6:02,10/13/21 6:32,1801.440000,0018_Bridge05844A_data_1_017.ASC
10/13/21 6:32,10/13/21 6:47,914.826667,0019_Bridge05844A_data_1_018.ASC
10/13/21 6:53,10/13/21 7:00,380.640000,0020_Bridge05844A_data_1_019.ASC
10/13/21 7:03,10/13/21 7:33,1801.400000,0021_Bridge05844A_morning_of_pour.ASC
10/13/21 7:33,10/13/21 8:03,1801.433333,0022_Bridge05844A_morning_of_pour_001.ASC
10/13/21 8:03,10/13/21 8:33,1801.380000,0023_Bridge05844A_morning_of_pour_002.ASC
10/13/21 8:33,10/13/21 9:03,1801.380000,0024_Bridge05844A_morning_of_pour_003.ASC
10/13/21 9:03,10/13/21 9:33,1801.406667,0025_Bridge05844A_morning_of_pour_004.ASC
10/13/21 9:33,10/13/21 10:03,1801.480000,0026_Bridge05844A_morning_of_pour_005.ASC
10/13/21 10:03,10/13/21 10:33,1801.380000,0027_Bridge05844A_morning_of_pour_006.ASC
10/13/21 10:33,10/13/21 11:03,1801.353333,0028_Bridge05844A_morning_of_pour_007.ASC
10/13/21 11:03,10/13/21 11:33,1801.406667,0029_Bridge05844A_morning_of_pour_008.ASC
10/13/21 11:33,10/13/21 12:03,1801.480000,0030_Bridge05844A_morning_of_pour_009.ASC
10/13/21 12:03,10/13/21 12:33,1801.333333,0031_Bridge05844A_morning_of_pour_010.ASC
10/13/21 12:33,10/13/21 13:03,1801.426667,0032_Bridge05844A_morning_of_pour_011.ASC
